"Overshooting (0:Without,1:With)",Initial Mass,Initial Metallicity,Initial He Abundance,Age,Log L,Log Teff,Log g,Log Tc,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1,0.15,4.00E-04,0.23,,-2.304,3.591,5.227,6.773,2.481,0.769,6.85e-05,0.000192,0.0,0.0,-2.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.15,4.00E-04,0.23,,-2.26,3.596,5.203,6.772,2.447,0.748,6.85e-05,0.000192,0.0,0.0,-2.26,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.2,4.00E-04,0.23,,-2.008,3.616,5.157,6.832,2.326,0.767,6.85e-05,0.000192,0.0,0.0,-2.008,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.2,4.00E-04,0.23,,-1.945,3.619,5.106,6.818,2.252,0.746,6.85e-05,0.000192,0.0,0.0,-1.945,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.25,4.00E-04,0.23,,-1.796,3.628,5.092,6.864,2.189,0.765,6.85e-05,0.000192,0.0,0.0,-1.795,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.25,4.00E-04,0.23,,-1.746,3.631,5.052,6.853,2.13,0.747,6.85e-05,0.000192,0.0,0.0,-1.746,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.3,4.00E-04,0.23,,-1.657,3.637,5.068,6.898,2.118,0.767,6.85e-05,0.000192,0.0,0.0,-1.656,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.3,4.00E-04,0.23,,-1.595,3.64,5.018,6.883,2.044,0.746,6.85e-05,0.000192,0.0,0.0,-1.595,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.35,4.00E-04,0.23,,-1.536,3.645,5.043,6.924,2.051,0.768,6.85e-05,0.000192,0.0,0.0,-1.534,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.35,4.00E-04,0.23,,-1.47,3.648,4.99,6.908,1.974,0.744,6.84e-05,0.000192,0.0,0.0,-1.47,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.4,4.00E-04,0.23,,-1.419,3.651,5.011,6.94,1.982,0.768,6.85e-05,0.000192,0.1336,0.1194,-1.405,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.4,4.00E-04,0.23,,-1.37,3.655,4.976,6.935,1.936,0.735,6.81e-05,0.000192,0.1477,0.3033,-1.371,0.0,0.0698,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.45,4.00E-04,0.23,,-1.282,3.66,4.958,6.947,1.931,0.764,6.83e-05,0.000192,0.1049,0.3033,-1.28,0.0,0.0698,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.45,4.00E-04,0.23,,-1.255,3.661,4.937,6.947,1.958,0.7,6.32e-05,0.000192,0.0008,0.5689,-1.255,0.0,0.0848,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.45,4.00E-04,0.23,,-1.232,3.663,4.921,6.957,2.019,0.6,4.86e-05,0.000192,0.0,0.594,-1.232,0.0,0.0901,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.45,4.00E-04,0.23,,-1.207,3.665,4.904,6.97,2.089,0.5,2.95e-05,0.000192,0.0,0.6176,-1.207,0.0,0.1049,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.45,4.00E-04,0.23,,-1.203,3.665,4.901,6.972,2.099,0.487,2.69e-05,0.000192,0.0,0.6176,-1.203,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.5,4.00E-04,0.23,,-1.152,3.669,4.912,6.965,1.933,0.764,6.8e-05,0.000192,0.0901,0.3033,-1.15,0.0,0.0848,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.5,4.00E-04,0.23,,-1.123,3.671,4.891,6.965,1.963,0.699,5.74e-05,0.000192,0.0005,0.5689,-1.122,0.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.5,4.00E-04,0.23,,-1.092,3.674,4.872,6.977,2.025,0.599,3.35e-05,0.000192,0.0,0.6415,-1.092,0.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.5,4.00E-04,0.23,,-1.059,3.678,4.853,6.992,2.097,0.499,1.15e-05,0.000192,0.0,0.6769,-1.058,0.0,0.1336,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.5,4.00E-04,0.23,,-1.024,3.681,4.834,7.007,2.168,0.413,1.76e-06,0.000192,0.0,0.6985,-1.024,0.0,0.1477,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.55,4.00E-04,0.23,0.0,-1.002,3.684,4.863,6.985,1.933,0.764,6.74e-05,0.000192,0.0738,0.3129,-1.0,0.0,0.1324,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.55,4.00E-04,0.23,3210000000.0,-0.97,3.687,4.843,6.987,1.97,0.699,4.57e-05,0.000192,0.0005,0.5682,-0.97,0.0,0.1548,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,8350000000.0,-0.935,3.691,4.825,7.001,2.033,0.599,1.32e-05,0.000192,0.0,0.6387,-0.934,0.0,0.1548,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,13600000000.0,-0.895,3.696,4.806,7.017,2.106,0.498,1.13e-06,0.000192,0.0,0.6747,-0.894,0.0,0.1695,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,19000000000.0,-0.849,3.702,4.783,7.036,2.191,0.399,1.9e-07,0.000192,0.0,0.6968,-0.848,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.55,4.00E-04,0.23,24200000000.0,-0.798,3.709,4.758,7.058,2.284,0.308,2.12e-07,0.000192,0.0,0.7173,-0.798,0.0,0.2119,0.0,0.0,0.0,0.0,0.0,0.0,F
1,0.6,4.00E-04,0.23,0.0,-0.847,3.704,4.823,7.008,1.939,0.765,6.66e-05,0.000192,0.0791,0.2716,-0.845,0.0,0.1589,0.0,0.0,0.0,0.0,0.0,0.0,ZAMS
1,0.6,4.00E-04,0.23,2640000000.0,-0.811,3.707,4.802,7.011,1.979,0.698,2.51e-05,0.000192,0.0,0.5658,-0.81,0.0,0.1863,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.6,4.00E-04,0.23,6590000000.0,-0.773,3.712,4.783,7.025,2.043,0.598,1.37e-06,0.000192,0.0,0.6406,-0.772,0.0,0.1997,0.0,0.0,0.0,0.0,0.0,0.0,
